                                     Moon                                     
     
            Topocentric Physical Ephemeris: Illumination Parameters           
     
                           Cherry Springs State Park                          
                Location:  W 77°48'45.0", N41°39'52.6",   710m                
                  (Longitude referred to Greenwich meridian)                  
     
   Date        Time             Phase     Fraction                       Semi-
         (UT1)                  Angle    Illuminated    Parallax       diameter
             h  m   s             °                      '   "          '   "
2014 Jun 28 00:00:00.0         171.23       0.006       53 50.13       14 51.73
2014 Jun 28 00:05:00.0         171.19       0.006       53 56.60       14 51.50
2014 Jun 28 00:10:00.0         171.16       0.006       54 02.30       14 51.27
2014 Jun 28 00:15:00.0         171.12       0.006       54 07.24       14 51.05
2014 Jun 28 00:20:00.0         171.09       0.006       54 11.40       14 50.82
2014 Jun 28 00:25:00.0         171.05       0.006       54 14.82       14 50.59
2014 Jun 28 00:30:00.0         171.02       0.006       54 17.49       14 50.37
2014 Jun 28 00:35:00.0         170.98       0.006       54 19.43       14 50.14
2014 Jun 28 00:40:00.0         170.95       0.006       54 20.65       14 49.92
2014 Jun 28 00:45:00.0         170.91       0.006       54 21.16       14 49.70
2014 Jun 28 00:50:00.0         170.87       0.006       54 20.96       14 49.48
2014 Jun 28 00:55:00.0         170.83       0.006       54 20.08       14 49.26
2014 Jun 28 01:00:00.0         170.80       0.006       54 18.53       14 49.04
2014 Jun 28 01:05:00.0         170.76       0.006       54 16.32       14 48.82
2014 Jun 28 01:10:00.0         170.72       0.007       54 13.47       14 48.61
2014 Jun 28 01:15:00.0         170.68       0.007       54 09.99       14 48.40
2014 Jun 28 01:20:00.0         170.65       0.007       54 05.90       14 48.18
2014 Jun 28 01:25:00.0         170.61       0.007       54 01.21       14 47.98
2014 Jun 28 01:30:00.0         170.57       0.007       53 55.95       14 47.77
2014 Jun 28 01:35:00.0         170.53       0.007       53 50.12       14 47.56
2014 Jun 28 01:40:00.0         170.49       0.007       53 43.76       14 47.36
2014 Jun 28 01:45:00.0         170.45       0.007       53 36.88       14 47.16
2014 Jun 28 01:50:00.0         170.41       0.007       53 29.50       14 46.96
2014 Jun 28 01:55:00.0         170.37       0.007       53 21.64       14 46.77
2014 Jun 28 02:00:00.0         170.33       0.007       53 13.33       14 46.57
