                                   Moon                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                         Cherry Springs State Park                        
              Location:  W 77°48'45.0", N41°39'52.6",   710m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 km
2014 Jun 28 00:00:00.0      81.97256       286.00079        401876.698
2014 Jun 28 00:05:00.0      82.84467       286.76326        401979.992
2014 Jun 28 00:10:00.0      83.71311       287.52814        402083.080
2014 Jun 28 00:15:00.0      84.57772       288.29577        402185.922
2014 Jun 28 00:20:00.0      85.43834       289.06645        402288.474
2014 Jun 28 00:25:00.0      86.29480       289.84051        402390.694
2014 Jun 28 00:30:00.0      87.14693       290.61826        402492.540
2014 Jun 28 00:35:00.0      87.99456       291.40000        402593.971
2014 Jun 28 00:40:00.0      88.83750       292.18606        402694.944
2014 Jun 28 00:45:00.0      89.67558       292.97672        402795.418
2014 Jun 28 00:50:00.0      90.50861       293.77231        402895.353
2014 Jun 28 00:55:00.0      91.33641       294.57311        402994.707
2014 Jun 28 01:00:00.0      92.15879       295.37943        403093.439
2014 Jun 28 01:05:00.0      92.97554       296.19157        403191.510
2014 Jun 28 01:10:00.0      93.78648       297.00982        403288.879
2014 Jun 28 01:15:00.0      94.59139       297.83449        403385.506
2014 Jun 28 01:20:00.0      95.39006       298.66585        403481.353
2014 Jun 28 01:25:00.0      96.18230       299.50421        403576.380
2014 Jun 28 01:30:00.0      96.96786       300.34985        403670.548
2014 Jun 28 01:35:00.0      97.74654       301.20305        403763.821
2014 Jun 28 01:40:00.0      98.51810       302.06411        403856.159
2014 Jun 28 01:45:00.0      99.28231       302.93329        403947.525
2014 Jun 28 01:50:00.0     100.03893       303.81089        404037.882
2014 Jun 28 01:55:00.0     100.78771       304.69717        404127.195
2014 Jun 28 02:00:00.0     101.52841       305.59240        404215.427
2014 Jun 28 02:05:00.0     102.26077       306.49684        404302.542
2014 Jun 28 02:10:00.0     102.98452       307.41077        404388.506
2014 Jun 28 02:15:00.0     103.69940       308.33443        404473.284
2014 Jun 28 02:20:00.0     104.40513       309.26807        404556.842
2014 Jun 28 02:25:00.0     105.10144       310.21193        404639.146
2014 Jun 28 02:30:00.0     105.78803       311.16624        404720.165
2014 Jun 28 02:35:00.0     106.46463       312.13124        404799.866
2014 Jun 28 02:40:00.0     107.13092       313.10714        404878.216
2014 Jun 28 02:45:00.0     107.78661       314.09414        404955.185
2014 Jun 28 02:50:00.0     108.43138       315.09243        405030.743
2014 Jun 28 02:55:00.0     109.06493       316.10221        405104.860
2014 Jun 28 03:00:00.0     109.68694       317.12362        405177.506
2014 Jun 28 03:05:00.0     110.29708       318.15684        405248.653
2014 Jun 28 03:10:00.0     110.89502       319.20199        405318.273
2014 Jun 28 03:15:00.0     111.48043       320.25919        405386.339
2014 Jun 28 03:20:00.0     112.05298       321.32855        405452.824
2014 Jun 28 03:25:00.0     112.61232       322.41014        405517.703
2014 Jun 28 03:30:00.0     113.15811       323.50403        405580.950
2014 Jun 28 03:35:00.0     113.69001       324.61025        405642.541
2014 Jun 28 03:40:00.0     114.20766       325.72881        405702.452
2014 Jun 28 03:45:00.0     114.71072       326.85970        405760.661
2014 Jun 28 03:50:00.0     115.19885       328.00288        405817.145
2014 Jun 28 03:55:00.0     115.67168       329.15828        405871.882
2014 Jun 28 04:00:00.0     116.12888       330.32581        405924.852
2014 Jun 28 04:05:00.0     116.57009       331.50533        405976.035
2014 Jun 28 04:10:00.0     116.99498       332.69668        406025.412
2014 Jun 28 04:15:00.0     117.40320       333.89968        406072.964
2014 Jun 28 04:20:00.0     117.79443       335.11409        406118.674
2014 Jun 28 04:25:00.0     118.16832       336.33966        406162.525
2014 Jun 28 04:30:00.0     118.52456       337.57609        406204.501
2014 Jun 28 04:35:00.0     118.86283       338.82305        406244.587
2014 Jun 28 04:40:00.0     119.18284       340.08017        406282.768
2014 Jun 28 04:45:00.0     119.48428       341.34706        406319.031
2014 Jun 28 04:50:00.0     119.76687       342.62327        406353.363
2014 Jun 28 04:55:00.0     120.03035       343.90833        406385.753
2014 Jun 28 05:00:00.0     120.27445       345.20175        406416.188
2014 Jun 28 05:05:00.0     120.49893       346.50299        406444.660
2014 Jun 28 05:10:00.0     120.70357       347.81148        406471.159
2014 Jun 28 05:15:00.0     120.88816       349.12661        406495.675
2014 Jun 28 05:20:00.0     121.05251       350.44778        406518.203
2014 Jun 28 05:25:00.0     121.19644       351.77433        406538.733
2014 Jun 28 05:30:00.0     121.31981       353.10558        406557.262
2014 Jun 28 05:35:00.0     121.42248       354.44085        406573.783
2014 Jun 28 05:40:00.0     121.50435       355.77942        406588.293
2014 Jun 28 05:45:00.0     121.56532       357.12057        406600.787
2014 Jun 28 05:50:00.0     121.60533       358.46356        406611.264
2014 Jun 28 05:55:00.0     121.62433       359.80765        406619.723
2014 Jun 28 06:00:00.0     121.62231         1.15209        406626.161
2014 Jun 28 06:05:00.0     121.59927         2.49613        406630.579
2014 Jun 28 06:10:00.0     121.55523         3.83902        406632.979
2014 Jun 28 06:15:00.0     121.49024         5.18002        406633.362
2014 Jun 28 06:20:00.0     121.40437         6.51839        406631.731
2014 Jun 28 06:25:00.0     121.29772         7.85341        406628.089
2014 Jun 28 06:30:00.0     121.17040         9.18438        406622.441
2014 Jun 28 06:35:00.0     121.02254        10.51060        406614.792
2014 Jun 28 06:40:00.0     120.85431        11.83141        406605.148
2014 Jun 28 06:45:00.0     120.66587        13.14616        406593.517
2014 Jun 28 06:50:00.0     120.45743        14.45425        406579.905
2014 Jun 28 06:55:00.0     120.22919        15.75506        406564.323
2014 Jun 28 07:00:00.0     119.98139        17.04805        406546.779
2014 Jun 28 07:05:00.0     119.71427        18.33269        406527.284
2014 Jun 28 07:10:00.0     119.42809        19.60848        406505.849
2014 Jun 28 07:15:00.0     119.12312        20.87495        406482.487
2014 Jun 28 07:20:00.0     118.79966        22.13169        406457.209
2014 Jun 28 07:25:00.0     118.45799        23.37829        406430.031
2014 Jun 28 07:30:00.0     118.09843        24.61439        406400.966
2014 Jun 28 07:35:00.0     117.72128        25.83968        406370.031
2014 Jun 28 07:40:00.0     117.32689        27.05387        406337.240
2014 Jun 28 07:45:00.0     116.91556        28.25671        406302.612
2014 Jun 28 07:50:00.0     116.48765        29.44797        406266.163
2014 Jun 28 07:55:00.0     116.04350        30.62748        406227.914
2014 Jun 28 08:00:00.0     115.58344        31.79507        406187.882
2014 Jun 28 08:05:00.0     115.10782        32.95063        406146.089
2014 Jun 28 08:10:00.0     114.61700        34.09407        406102.555
2014 Jun 28 08:15:00.0     114.11133        35.22533        406057.302
2014 Jun 28 08:20:00.0     113.59115        36.34438        406010.352
2014 Jun 28 08:25:00.0     113.05681        37.45120        405961.729
2014 Jun 28 08:30:00.0     112.50866        38.54582        405911.456
2014 Jun 28 08:35:00.0     111.94705        39.62828        405859.558
2014 Jun 28 08:40:00.0     111.37232        40.69865        405806.061
2014 Jun 28 08:45:00.0     110.78481        41.75701        405750.991
2014 Jun 28 08:50:00.0     110.18486        42.80347        405694.373
2014 Jun 28 08:55:00.0     109.57279        43.83815        405636.237
2014 Jun 28 09:00:00.0     108.94895        44.86120        405576.610
2014 Jun 28 09:05:00.0     108.31366        45.87278        405515.520
2014 Jun 28 09:10:00.0     107.66722        46.87306        405452.998
2014 Jun 28 09:15:00.0     107.00996        47.86222        405389.073
2014 Jun 28 09:20:00.0     106.34219        48.84047        405323.775
2014 Jun 28 09:25:00.0     105.66421        49.80801        405257.138
2014 Jun 28 09:30:00.0     104.97631        50.76506        405189.191
2014 Jun 28 09:35:00.0     104.27879        51.71186        405119.968
2014 Jun 28 09:40:00.0     103.57193        52.64865        405049.502
2014 Jun 28 09:45:00.0     102.85602        53.57567        404977.827
2014 Jun 28 09:50:00.0     102.13132        54.49317        404904.976
2014 Jun 28 09:55:00.0     101.39812        55.40141        404830.984
