                                    Sun                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                         Cherry Springs State Park                        
              Location:  W 77°48'45.0", N41°39'52.6",   710m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 AU
2014 Jun 28 00:00:00.0      82.69442       294.79800       1.016576621
2014 Jun 28 00:05:00.0      83.53942       295.58076       1.016577364
2014 Jun 28 00:10:00.0      84.37889       296.36822       1.016578104
2014 Jun 28 00:15:00.0      85.21265       297.16065       1.016578841
2014 Jun 28 00:20:00.0      86.04049       297.95834       1.016579574
2014 Jun 28 00:25:00.0      86.86222       298.76157       1.016580303
2014 Jun 28 00:30:00.0      87.67762       299.57060       1.016581028
2014 Jun 28 00:35:00.0      88.48650       300.38571       1.016581748
2014 Jun 28 00:40:00.0      89.28863       301.20716       1.016582463
2014 Jun 28 00:45:00.0      90.08380       302.03521       1.016583174
2014 Jun 28 00:50:00.0      90.87178       302.87012       1.016583878
2014 Jun 28 00:55:00.0      91.65235       303.71214       1.016584577
2014 Jun 28 01:00:00.0      92.42527       304.56153       1.016585270
2014 Jun 28 01:05:00.0      93.19030       305.41852       1.016585957
2014 Jun 28 01:10:00.0      93.94720       306.28336       1.016586637
2014 Jun 28 01:15:00.0      94.69573       307.15628       1.016587311
2014 Jun 28 01:20:00.0      95.43562       308.03751       1.016587977
2014 Jun 28 01:25:00.0      96.16662       308.92727       1.016588636
2014 Jun 28 01:30:00.0      96.88847       309.82579       1.016589287
2014 Jun 28 01:35:00.0      97.60089       310.73326       1.016589931
2014 Jun 28 01:40:00.0      98.30361       311.64989       1.016590566
2014 Jun 28 01:45:00.0      98.99636       312.57588       1.016591193
2014 Jun 28 01:50:00.0      99.67885       313.51141       1.016591812
2014 Jun 28 01:55:00.0     100.35079       314.45666       1.016592422
2014 Jun 28 02:00:00.0     101.01188       315.41178       1.016593022
2014 Jun 28 02:05:00.0     101.66183       316.37694       1.016593614
2014 Jun 28 02:10:00.0     102.30034       317.35227       1.016594196
2014 Jun 28 02:15:00.0     102.92710       318.33790       1.016594768
2014 Jun 28 02:20:00.0     103.54179       319.33396       1.016595330
2014 Jun 28 02:25:00.0     104.14411       320.34053       1.016595882
2014 Jun 28 02:30:00.0     104.73373       321.35771       1.016596423
2014 Jun 28 02:35:00.0     105.31034       322.38556       1.016596954
2014 Jun 28 02:40:00.0     105.87362       323.42413       1.016597475
2014 Jun 28 02:45:00.0     106.42323       324.47346       1.016597984
2014 Jun 28 02:50:00.0     106.95886       325.53355       1.016598482
2014 Jun 28 02:55:00.0     107.48017       326.60440       1.016598969
2014 Jun 28 03:00:00.0     107.98685       327.68597       1.016599444
2014 Jun 28 03:05:00.0     108.47855       328.77822       1.016599908
2014 Jun 28 03:10:00.0     108.95496       329.88106       1.016600360
2014 Jun 28 03:15:00.0     109.41576       330.99441       1.016600799
2014 Jun 28 03:20:00.0     109.86061       332.11812       1.016601227
2014 Jun 28 03:25:00.0     110.28920       333.25205       1.016601642
2014 Jun 28 03:30:00.0     110.70122       334.39602       1.016602045
2014 Jun 28 03:35:00.0     111.09636       335.54983       1.016602435
2014 Jun 28 03:40:00.0     111.47432       336.71324       1.016602813
2014 Jun 28 03:45:00.0     111.83478       337.88600       1.016603178
2014 Jun 28 03:50:00.0     112.17748       339.06781       1.016603529
2014 Jun 28 03:55:00.0     112.50213       340.25836       1.016603868
2014 Jun 28 04:00:00.0     112.80845       341.45730       1.016604193
2014 Jun 28 04:05:00.0     113.09618       342.66426       1.016604506
2014 Jun 28 04:10:00.0     113.36508       343.87885       1.016604804
2014 Jun 28 04:15:00.0     113.61492       345.10064       1.016605090
2014 Jun 28 04:20:00.0     113.84546       346.32918       1.016605361
2014 Jun 28 04:25:00.0     114.05649       347.56400       1.016605620
2014 Jun 28 04:30:00.0     114.24784       348.80460       1.016605864
2014 Jun 28 04:35:00.0     114.41931       350.05046       1.016606095
2014 Jun 28 04:40:00.0     114.57074       351.30105       1.016606312
2014 Jun 28 04:45:00.0     114.70200       352.55580       1.016606515
2014 Jun 28 04:50:00.0     114.81296       353.81414       1.016606704
2014 Jun 28 04:55:00.0     114.90350       355.07549       1.016606879
2014 Jun 28 05:00:00.0     114.97355       356.33925       1.016607040
2014 Jun 28 05:05:00.0     115.02303       357.60480       1.016607187
2014 Jun 28 05:10:00.0     115.05190       358.87154       1.016607321
2014 Jun 28 05:15:00.0     115.06012         0.13884       1.016607440
2014 Jun 28 05:20:00.0     115.04770         1.40608       1.016607545
2014 Jun 28 05:25:00.0     115.01463         2.67263       1.016607636
2014 Jun 28 05:30:00.0     114.96096         3.93788       1.016607713
2014 Jun 28 05:35:00.0     114.88674         5.20120       1.016607777
2014 Jun 28 05:40:00.0     114.79204         6.46200       1.016607826
2014 Jun 28 05:45:00.0     114.67694         7.71968       1.016607861
2014 Jun 28 05:50:00.0     114.54157         8.97365       1.016607883
2014 Jun 28 05:55:00.0     114.38604        10.22334       1.016607890
2014 Jun 28 06:00:00.0     114.21052        11.46820       1.016607884
2014 Jun 28 06:05:00.0     114.01515        12.70769       1.016607864
2014 Jun 28 06:10:00.0     113.80013        13.94131       1.016607831
2014 Jun 28 06:15:00.0     113.56565        15.16855       1.016607783
2014 Jun 28 06:20:00.0     113.31192        16.38895       1.016607723
2014 Jun 28 06:25:00.0     113.03917        17.60206       1.016607648
2014 Jun 28 06:30:00.0     112.74763        18.80747       1.016607561
2014 Jun 28 06:35:00.0     112.43757        20.00478       1.016607460
2014 Jun 28 06:40:00.0     112.10923        21.19363       1.016607346
2014 Jun 28 06:45:00.0     111.76289        22.37368       1.016607219
2014 Jun 28 06:50:00.0     111.39885        23.54461       1.016607079
2014 Jun 28 06:55:00.0     111.01737        24.70615       1.016606926
2014 Jun 28 07:00:00.0     110.61878        25.85804       1.016606760
2014 Jun 28 07:05:00.0     110.20336        27.00006       1.016606582
2014 Jun 28 07:10:00.0     109.77144        28.13200       1.016606392
2014 Jun 28 07:15:00.0     109.32332        29.25369       1.016606189
2014 Jun 28 07:20:00.0     108.85932        30.36499       1.016605974
2014 Jun 28 07:25:00.0     108.37978        31.46577       1.016605747
2014 Jun 28 07:30:00.0     107.88500        32.55593       1.016605508
2014 Jun 28 07:35:00.0     107.37533        33.63542       1.016605258
2014 Jun 28 07:40:00.0     106.85108        34.70418       1.016604996
2014 Jun 28 07:45:00.0     106.31258        35.76217       1.016604723
2014 Jun 28 07:50:00.0     105.76017        36.80941       1.016604439
2014 Jun 28 07:55:00.0     105.19416        37.84591       1.016604143
2014 Jun 28 08:00:00.0     104.61488        38.87169       1.016603838
2014 Jun 28 08:05:00.0     104.02265        39.88682       1.016603521
2014 Jun 28 08:10:00.0     103.41779        40.89136       1.016603194
