                                     Moon                                     
     
            Topocentric Physical Ephemeris: Illumination Parameters           
     
                         David Rittenhouse Laboratory                         
                Location:  W 75°11'20.4", N39°57'08.1",    12m                
                  (Longitude referred to Greenwich meridian)                  
     
   Date        Time             Phase     Fraction                       Semi-
         (UT1)                  Angle    Illuminated    Parallax       diameter
             h  m   s             °                      '   "          '   "
2014 Jun 28 00:00:00.0         171.25       0.006       54 06.26       14 51.14
2014 Jun 28 00:05:00.0         171.21       0.006       54 10.72       14 50.91
2014 Jun 28 00:10:00.0         171.18       0.006       54 14.39       14 50.68
2014 Jun 28 00:15:00.0         171.14       0.006       54 17.26       14 50.45
2014 Jun 28 00:20:00.0         171.10       0.006       54 19.36       14 50.22
2014 Jun 28 00:25:00.0         171.07       0.006       54 20.70       14 49.99
2014 Jun 28 00:30:00.0         171.03       0.006       54 21.28       14 49.76
2014 Jun 28 00:35:00.0         170.99       0.006       54 21.12       14 49.53
2014 Jun 28 00:40:00.0         170.96       0.006       54 20.23       14 49.31
2014 Jun 28 00:45:00.0         170.92       0.006       54 18.62       14 49.08
2014 Jun 28 00:50:00.0         170.88       0.006       54 16.31       14 48.86
2014 Jun 28 00:55:00.0         170.85       0.006       54 13.32       14 48.64
2014 Jun 28 01:00:00.0         170.81       0.006       54 09.66       14 48.42
2014 Jun 28 01:05:00.0         170.77       0.006       54 05.34       14 48.20
2014 Jun 28 01:10:00.0         170.73       0.007       54 00.38       14 47.98
2014 Jun 28 01:15:00.0         170.69       0.007       53 54.81       14 47.77
2014 Jun 28 01:20:00.0         170.65       0.007       53 48.63       14 47.56
2014 Jun 28 01:25:00.0         170.61       0.007       53 41.88       14 47.35
2014 Jun 28 01:30:00.0         170.58       0.007       53 34.56       14 47.14
2014 Jun 28 01:35:00.0         170.54       0.007       53 26.70       14 46.94
2014 Jun 28 01:40:00.0         170.50       0.007       53 18.32       14 46.74
2014 Jun 28 01:45:00.0         170.46       0.007       53 09.44       14 46.53
2014 Jun 28 01:50:00.0         170.42       0.007       53 00.09       14 46.34
2014 Jun 28 01:55:00.0         170.38       0.007       52 50.29       14 46.14
2014 Jun 28 02:00:00.0         170.33       0.007       52 40.05       14 45.95
