                                   Moon                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                       David Rittenhouse Laboratory                       
              Location:  W 75°11'20.4", N39°57'08.1",    12m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 km
2014 Jun 28 00:00:00.0      84.37527       287.85940        402142.026
2014 Jun 28 00:05:00.0      85.26052       288.60159        402247.274
2014 Jun 28 00:10:00.0      86.14173       289.34726        402352.218
2014 Jun 28 00:15:00.0      87.01874       290.09675        402456.813
2014 Jun 28 00:20:00.0      87.89139       290.85035        402561.018
2014 Jun 28 00:25:00.0      88.75951       291.60840        402664.788
2014 Jun 28 00:30:00.0      89.62291       292.37120        402768.082
2014 Jun 28 00:35:00.0      90.48142       293.13907        402870.856
2014 Jun 28 00:40:00.0      91.33487       293.91232        402973.070
2014 Jun 28 00:45:00.0      92.18305       294.69125        403074.680
2014 Jun 28 00:50:00.0      93.02579       295.47618        403175.645
2014 Jun 28 00:55:00.0      93.86289       296.26742        403275.925
2014 Jun 28 01:00:00.0      94.69414       297.06526        403375.477
2014 Jun 28 01:05:00.0      95.51935       297.87003        403474.262
2014 Jun 28 01:10:00.0      96.33829       298.68202        403572.239
2014 Jun 28 01:15:00.0      97.15077       299.50153        403669.368
2014 Jun 28 01:20:00.0      97.95655       300.32888        403765.609
2014 Jun 28 01:25:00.0      98.75542       301.16435        403860.925
2014 Jun 28 01:30:00.0      99.54713       302.00826        403955.275
2014 Jun 28 01:35:00.0     100.33146       302.86090        404048.622
2014 Jun 28 01:40:00.0     101.10815       303.72256        404140.928
2014 Jun 28 01:45:00.0     101.87696       304.59354        404232.156
2014 Jun 28 01:50:00.0     102.63763       305.47412        404322.268
2014 Jun 28 01:55:00.0     103.38990       306.36460        404411.230
2014 Jun 28 02:00:00.0     104.13349       307.26526        404499.004
2014 Jun 28 02:05:00.0     104.86814       308.17636        404585.555
2014 Jun 28 02:10:00.0     105.59356       309.09819        404670.850
2014 Jun 28 02:15:00.0     106.30945       310.03101        404754.853
2014 Jun 28 02:20:00.0     107.01553       310.97507        404837.532
2014 Jun 28 02:25:00.0     107.71148       311.93063        404918.853
2014 Jun 28 02:30:00.0     108.39701       312.89793        404998.784
2014 Jun 28 02:35:00.0     109.07178       313.87719        405077.293
2014 Jun 28 02:40:00.0     109.73549       314.86864        405154.349
2014 Jun 28 02:45:00.0     110.38780       315.87248        405229.922
2014 Jun 28 02:50:00.0     111.02837       316.88890        405303.982
2014 Jun 28 02:55:00.0     111.65687       317.91809        405376.499
2014 Jun 28 03:00:00.0     112.27294       318.96020        405447.446
2014 Jun 28 03:05:00.0     112.87624       320.01537        405516.794
2014 Jun 28 03:10:00.0     113.46640       321.08374        405584.516
2014 Jun 28 03:15:00.0     114.04307       322.16539        405650.587
2014 Jun 28 03:20:00.0     114.60587       323.26042        405714.980
2014 Jun 28 03:25:00.0     115.15445       324.36887        405777.670
2014 Jun 28 03:30:00.0     115.68842       325.49077        405838.634
