                                    Sun                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                       David Rittenhouse Laboratory                       
              Location:  W 75°11'20.4", N39°57'08.1",    12m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 AU
2014 Jun 28 00:00:00.0      85.22608       296.58510       1.016578495
2014 Jun 28 00:05:00.0      86.08008       297.35453       1.016579248
2014 Jun 28 00:10:00.0      86.92814       298.12974       1.016579996
2014 Jun 28 00:15:00.0      87.77007       298.91101       1.016580741
2014 Jun 28 00:20:00.0      88.60565       299.69863       1.016581481
2014 Jun 28 00:25:00.0      89.43469       300.49287       1.016582217
2014 Jun 28 00:30:00.0      90.25695       301.29400       1.016582947
2014 Jun 28 00:35:00.0      91.07223       302.10230       1.016583672
2014 Jun 28 00:40:00.0      91.88029       302.91803       1.016584392
2014 Jun 28 00:45:00.0      92.68090       303.74145       1.016585105
2014 Jun 28 00:50:00.0      93.47383       304.57283       1.016585813
2014 Jun 28 00:55:00.0      94.25884       305.41243       1.016586514
2014 Jun 28 01:00:00.0      95.03566       306.26048       1.016587208
2014 Jun 28 01:05:00.0      95.80406       307.11726       1.016587895
2014 Jun 28 01:10:00.0      96.56377       307.98299       1.016588575
2014 Jun 28 01:15:00.0      97.31452       308.85791       1.016589248
2014 Jun 28 01:20:00.0      98.05604       309.74226       1.016589912
2014 Jun 28 01:25:00.0      98.78806       310.63627       1.016590569
2014 Jun 28 01:30:00.0      99.51029       311.54014       1.016591217
2014 Jun 28 01:35:00.0     100.22244       312.45410       1.016591857
2014 Jun 28 01:40:00.0     100.92422       313.37834       1.016592488
2014 Jun 28 01:45:00.0     101.61532       314.31306       1.016593109
2014 Jun 28 01:50:00.0     102.29544       315.25844       1.016593722
2014 Jun 28 01:55:00.0     102.96428       316.21465       1.016594325
2014 Jun 28 02:00:00.0     103.62150       317.18186       1.016594918
2014 Jun 28 02:05:00.0     104.26679       318.16019       1.016595501
2014 Jun 28 02:10:00.0     104.89982       319.14980       1.016596074
2014 Jun 28 02:15:00.0     105.52027       320.15079       1.016596636
2014 Jun 28 02:20:00.0     106.12779       321.16327       1.016597188
2014 Jun 28 02:25:00.0     106.72205       322.18731       1.016597729
